,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
30,2021-02-18,DOOMBEN,4,R4 1350m CL1,1.179418187,38523334,6. Expensive To Keep,30.9,R4 1350m CL1,LOSER,1370.14,24.65,34,26,0,0.03236245954692557,0.04056795131845842
31,2021-02-18,DOOMBEN,4,R4 1350m CL1,1.179418187,35500597,7. Siennas Choice,27.13,R4 1350m CL1,LOSER,725.96,46.75,60,50,0,0.03685956505713233,0.0213903743315508
32,2021-02-18,DOOMBEN,4,R4 1350m CL1,1.179418187,28500198,8. The Golden Bear,23.42,R4 1350m CL1,LOSER,2946.89,60.04,44,50,0,0.04269854824935952,0.016655562958027982
33,2021-02-18,DOOMBEN,4,R4 1350m CL1,1.179418187,38523335,9. Scruffnstuff,185.45,R4 1350m CL1,LOSER,155.8,611.87,210,300,0,0.005392289026691831,0.0016343340905747954
34,2021-02-18,DOOMBEN,4,R4 1350m CL1,1.179418187,21463903,10. Slightly Shady,185.45,R4 1350m CL1,LOSER,277.4,780.87,320,630,0,0.005392289026691831,0.0012806228949761164
35,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,9241138,6. Jazz Queen,9.04,R5 1110m CL2,LOSER,31052.42,2.66,2.66,2.7,0,0.11061946902654868,0.37593984962406013
36,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,28500163,8. Top Babe,27.87,R5 1110m CL2,LOSER,6258.25,10.5,7.8,9.4,0,0.03588087549336204,0.09523809523809523
37,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,970703,10. Single Again,190.27,R5 1110m CL2,LOSER,1631.13,27.0,30,28,0,0.00525568928364955,0.037037037037037035
38,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,20862977,1. Dreamtimer,22.83,R5 1110m CL2,WINNER,19289.88,5.4,6,5.2,1,0.043802014892685065,0.18518518518518517
39,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,27994186,5. Saddle Boy,12.77,R5 1110m CL2,LOSER,13226.54,6.6,5.6,6,0,0.07830853563038372,0.15151515151515152
40,2021-02-18,DOOMBEN,5,R5 1110m CL2,1.179418189,38523337,9. Brooklyn Star,23.14,R5 1110m CL2,LOSER,8058.93,7.05,7.4,7,0,0.043215211754537596,0.14184397163120568
41,2021-02-18,DOOMBEN,6,R6 1110m Hcap,1.179418191,28420286,8. Fish On,28.32,R6 1110m Hcap,LOSER,4579.78,13.5,15,13.5,0,0.03531073446327684,0.07407407407407407
42,2021-02-18,DOOMBEN,6,R6 1110m Hcap,1.179418191,24313803,6. Voila,5.68,R6 1110m Hcap,LOSER,71531.25,2.4,2.78,2.4,0,0.17605633802816903,0.4166666666666667
43,2021-02-18,DOOMBEN,6,R6 1110m Hcap,1.179418191,35921844,5. King Klaus,6.01,R6 1110m Hcap,WINNER,45401.77,2.94,2.44,3.05,1,0.1663893510815308,0.3401360544217687
44,2021-02-18,DOOMBEN,6,R6 1110m Hcap,1.179418191,6564075,4. Tardis,10.5,R6 1110m Hcap,LOSER,12101.98,7.76,7.2,6.4,0,0.09523809523809523,0.1288659793814433
45,2021-02-18,DOOMBEN,6,R6 1110m Hcap,1.179418191,12662925,2. Wudang Blade,86.29,R6 1110m Hcap,LOSER,3193.48,23.51,22,26,0,0.011588828369451848,0.042535091450446615
46,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,26909300,9. Qualify,50.58,R7 1640m CL2,LOSER,2289.04,17.33,22,20,0,0.019770660340055358,0.05770340450086556
47,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,38523341,8. Top Order,22.26,R7 1640m CL2,LOSER,32839.69,3.67,4.5,3.75,0,0.044923629829290206,0.2724795640326976
48,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,26981811,7. Northern Woods,8.99,R7 1640m CL2,LOSER,15066.18,5.1,5.4,4.9,0,0.11123470522803114,0.19607843137254904
49,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,38523340,6. Delayed Launch,13.03,R7 1640m CL2,WINNER,6002.7,15.56,13,14.5,1,0.07674597083653109,0.06426735218508997
50,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,38125407,3. Epicurious,10.73,R7 1640m CL2,LOSER,55361.45,2.52,2.12,2.42,0,0.09319664492078285,0.3968253968253968
51,2021-02-18,DOOMBEN,7,R7 1640m CL2,1.179418193,36772725,10. Mufasta,161.69,R7 1640m CL2,LOSER,779.67,80.0,65,120,0,0.006184674376894057,0.0125
52,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,28303719,6. Neptunes Choice,20.41,R8 1350m Hcap,LOSER,4299.21,12.81,11.5,15,0,0.04899559039686428,0.078064012490242
53,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,28092422,5. Royal Sheen,12.08,R8 1350m Hcap,LOSER,2826.75,13.5,10.5,13.5,0,0.08278145695364239,0.07407407407407407
54,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,750966,4. Flying Machine,26.85,R8 1350m Hcap,LOSER,7881.75,8.8,13,10,0,0.037243947858472994,0.11363636363636363
55,2021-02-18,DOOMBEN,8,R8 1350m Hcap,1.179418195,28494722,3. Rebel Salute,2.75,R8 1350m Hcap,WINNER,101922.75,2.44,2.46,2.3,1,0.36363636363636365,0.4098360655737705
