market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume, best_back_1m, best_back_5m 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,680667,2. Captain Morgan,LOSER,2.95,9763.349999999999,3.65,3.2 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,24997569,3. Gee Gee Zipalon,LOSER,36.25,631.1,36,36 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37231535,4. Moshama,LOSER,14.24,3270.420000000001,13,13.5 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995857,5. Sir Da Vinci,LOSER,5.60,4310.670000000002,5.5,5.5 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,2904728,6. American Jewel,LOSER,154.85,120.17999999999998,85,100 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995858,7. Launnie Nights,LOSER,45.00,319.0000000000001,36,38 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995859,8. Indigo Girls,WINNER,2.99,18692.06999999999,2.7,2.84 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,36484653,9. Dukes Sister,REMOVED,,0,None,None 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995860,10. Get Back Joe,REMOVED,,0,None,None 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995861,11. Tie One On,REMOVED,,0,None,None 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995862,12. Banca Go,REMOVED,,0,None,None 
1.177442943,2021-01-01 02:18:00,AU,Longford,R1 1800m Mdn,37995863,13. Babes Boy,REMOVED,,0,None,None 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37546940,1. Austintayshus,LOSER,7.06,8952.71,9,7.8 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,26921118,2. Gunfireinthecity,LOSER,42.00,590.2900000000002,60,44 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37997219,3. Kikuyu King,LOSER,37.90,1058.8999999999999,44,46 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,27702143,4. Lollielucas,LOSER,29.00,1360.6399999999999,25,24 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37997220,5. Native Blue,LOSER,13.00,2700.4500000000003,8.4,10 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,3592902,6. Smiling Assassin,LOSER,5.67,7162.890000000004,5.4,5.8 
1.177444866,2021-01-01 02:26:00,AU,Murray Bridge,R1 1800m Mdn,37792434,7. Regal Triumph,LOSER,6.20,7707.909999999998,5.4,5.5 
