market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996046,16. Miss Cruisey,REMOVED,,0 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,26530807,1. Shamamour,LOSER,14.35,2205.0700000000006 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,11036881,2. Blinkin Fast,LOSER,10.14,2321.7900000000004 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,15446799,3. Ballast,LOSER,25.00,1406.5299999999997 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,23399963,4. In Hearts Wake,LOSER,8.99,2668.77 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,35281841,7. Harbour Trick,WINNER,9.80,6405.630000000001 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,27682949,8. My Desire,LOSER,10.70,2128.7900000000004 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,23082973,9. Poet Lad,LOSER,2.79,31736.260000000002 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,36136797,11. Hardyo,LOSER,6.47,5419.05 
1.177443849,2021-01-01 02:46:00,AU,Inverell,R3 1600m Hcap,27078007,5. Onemorechoice,REMOVED,,0 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,37793891,1. Boris The Blade,LOSER,4.90,4053.85 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,27069046,2. Little Hot Missile,LOSER,6.42,3145.2899999999995 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,26492363,3. Needarein,LOSER,15.43,2092.3900000000017 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,24428001,4. Olympic Honour,WINNER,3.35,14860.660000000002 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,37995864,5. Boss Cheyenne,LOSER,9.80,2002.6 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,35442090,6. Gee Gee Cloudy Bay,LOSER,12.21,1071.8899999999994 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,36772549,8. Queens The Word,LOSER,34.00,594.1300000000002 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,26706196,9. Warpedo,LOSER,18.50,1564.5799999999997 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,37995865,7. Lupanar,REMOVED,,0 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,37995866,10. Louisville,REMOVED,,0 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,26515859,11. Naughty Helena,REMOVED,,0 
1.177442945,2021-01-01 02:57:00,AU,Longford,R2 1400m Mdn,27281025,12. Unbothered,REMOVED,,0 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,36568844,1. My Boy Percey,LOSER,125.20,392.7 
1.177444868,2021-01-01 03:01:00,AU,Murray Bridge,R2 1000m Mdn,37997223,2. Silver On Red,LOSER,9.19,13158.639999999996 
